CCS,Fixed Carbon of Coal (%)
177,85.18
178,86.44
179,85.8
179,84.24
180,82.68
181,84.17
181,75.02
182,85.89
182,85.83
182,85.47
182,85.27
182,84.27
182,84.02
182,83.72
182,83.09
183,86.02
183,85.78
183,85.34
183,84.54
183,84.06
183,83.64
184,86.14
184,86.03
184,84.9
184,83.79
184,83.27
184,82.73
185,86.24
185,85.25
185,84.3
185,84.11
185,83.97
185,83.46
185,83.41
185,83.35
185,82.97266667
185,81.85
185,81.53
186,88.9
186,87.48
186,87.25
186,85.656
186,85.26
186,84.94
186,84.88
186,84.75
186,84.195
186,84.09
186,83.94
186,83.89
186,83.51
186,83.46
186,83.21
187,86.71
187,86.66
187,86.64
187,86.38
187,86.37
187,86.02
187,86.01
187,85.97
187,85.8
187,85.57
187,85.48
187,85.31
187,84.73
187,84.61
187,84.48
187,84.43
187,84.13
187,84.03
187,83.983
187,83.92
187,83.92
187,83.71
187,83.55
187,82.46
188,86.46
188,85.89
188,85.87
188,85.06
188,84.94
188,84.88
188,84.86
188,84.73
188,84.65
188,84.55
188,84.32
188,84.26
188,84.14
188,84.13
188,83.96
188,83.94
188,83.82
188,83.67
188,83.58
188,83.26
188,80.65
189,86.58
189,86.29
189,85.93
189,85.81
189,85.8
189,85.02
189,84.71
189,84.55
189,84.31
189,84.095
189,84.08
189,83.96
189,83.93
189,83.62
189,83.55
189,83.49
189,83.1
189,71.55
189,63.12
190,86.29
190,86.02
190,85.84
190,85.62
190,85.37
190,85.19
190,85.13
190,85.03
190,84.86
190,84.53
190,84.12
190,84.095
190,83.74
190,83.54
190,83.455
190,83.26
190,83.15
190,83.01
190,82.02
190,79.87
190,78.91
190,77.33666667
191,86.12
191,85.93
191,85.37666667
191,85.336
191,85.21
191,85.17733333
191,85.164
191,85.13
191,85.02
191,85.02
191,84.992
191,84.98
191,84.82
191,84.52
191,84.26
191,84.24
191,83.96
191,83.31
191,83.13
191,82.86
191,82.27
191,81.18
192,88.34533333
192,86.94
192,86.57
192,86.37333333
192,86.174
192,86.11511111
192,85.97466667
192,85.77533333
192,85.58
192,84.59
192,84.51
192,84.33
192,84.02
192,83.98
192,83.53
192,83.3
192,83.2
192,83.05
192,81.84
192,81.52
192,80.8
192,80.39
192,75.51
192,72.85
192,71.78
192,70.95
192,64.52
193,86.28
193,85.62
193,85.57
193,85.31
193,85.25666667
193,85.13
193,84.77
193,83.98
193,83.97
193,83.96
193,83.9
193,83.67
193,83.43245503
193,83.09
193,82.96816931
193,82.64
193,82.5
193,82.32
193,82.23
193,82.03959788
193,81.57531217
193,72.56
193,71.51
193,70.45
193,69.78
193,67.97
193,64.48
193,63.96
193,63.37
194,86.12
194,85.87
194,85.72
194,85.54
194,84.72
194,84.69
194,83.73
194,83.69
194,83.56
194,83.43
194,83.24
194,83.02
194,82.8
194,82.74
194,82.68
194,82.45
194,82.39
194,81.09
194,73.79
194,70.67
194,70.55
194,64.54
195,86.55
195,85.67
195,85.63
195,84.33
195,84.15
195,83.87
195,83.32
195,83.14
195,83.13
195,82.81
195,82.75
195,82.7
195,82.57
195,82.17
195,82.05
195,82.03
195,80.81
195,80.73
195,80.58
195,69.86
195,69.69
195,68.75
195,66.36
195,65.14
195,63.7
196,86.92
196,83.75
196,83.37
196,83.29
196,82.85
196,82.59
196,82.49
196,82.48
196,81.87
196,81.72
196,80.63
196,76.97
196,66.19
196,64.11
197,85.56
197,83.46
197,82.92
197,80.8
197,79.51
197,72.34
197,70.02
197,67.01
197,63.51
198,84.88
198,83.53
198,83.21
198,83.18
198,83.09
198,82.06
198,81.41
198,78.98
198,73.53
199,87.35
199,86.59
199,86.46
199,85.41
199,85.01
199,84.62
199,83.75
199,83.19
199,81.87
199,79.23
199,78.88
199,74.89
199,65.61
199,64.74
200,87.3
200,84.78
200,84.05
200,83.85
200,82.98
200,82.64
200,82.51
200,81.18
200,80.03
200,64.04
201,85.88
201,84.74
201,84.05
201,84.03
201,84.02
201,83.43
201,83.28
201,83.1
201,82.95
201,82.87
201,82.78
201,82.13
201,77.35
201,63.32
202,85.53
202,83.36
202,82.17
202,77.8
202,75.73
202,67.44
202,66.62
202,65.3
202,63.71
202,63.08
202,62.95
203,85.34
203,84.51
203,84.16
203,83.6
203,83.44
203,82.7
203,80.29
203,62.3
204,82.83
204,65.65
205,84.41
205,84.09
205,82.79
206,85.39
206,83.24
207,84.01
207,83.52
207,83.34
207,82.67
209,85.66
209,67.33
212,83.59
215,83.15
246,72.21
249,71.12
